year,Pos,Player,Image,Wkts,Mat,Inns,Over,Runs,BBI,Average,Economic,Strike_Rate,Four_wkt,Five_wkt,Team,Team_logo
2016.0, 55 ,Pradeep Sahu,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Nathan Coulter-Nile.png,3.0,5.0,5.0,17.0,146.0,2/18,48.66,8.34,35.0,0.0,0.0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png
2016.0, 56 ,Nathan Coulter-Nile,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik Pandya.png,3.0,4.0,4.0,15.0,114.0,4/14,38.0,7.6,30.0,0.0,0.0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg
2016.0, 57 ,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ishant Sharma.png,3.0,11.0,10.0,16.0,153.0,3/20,51.0,9.18,33.33,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2016.0, 58 ,Ishant Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Deepak Hooda.png,3.0,4.0,4.0,15.0,148.0,5/12,49.33,9.86,30.0,0.0,0.0,RPS,https://i.pinimg.com/736x/9b/3c/f1/9b3cf1c503a30be3ec3c3f60562867f7.jpg
2016.0, 59 ,Deepak Hooda,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KC Cariappa.png,3.0,17.0,6.0,13.0,97.0,2/16,32.33,7.46,26.0,0.0,0.0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg
2016.0, 60 ,KC Cariappa,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Scott Boland.png,3.0,5.0,5.0,17.0,159.0,2/16,53.0,9.35,34.0,0.0,0.0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png
2016.0, 61 ,Scott Boland,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/James Faulkner.png,2.0,2.0,2.0,7.0,54.0,2/31,27.0,7.71,21.0,0.0,0.0,RPS,https://i.pinimg.com/736x/9b/3c/f1/9b3cf1c503a30be3ec3c3f60562867f7.jpg
2016.0, 62 ,James Faulkner,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jason Holder.png,2.0,7.0,7.0,17.0,167.0,5/16,83.5,9.82,51.0,0.0,0.0,GL,https://static.india.com/wp-content/uploads/2017/02/gl.jpg
2016.0, 63 ,Jason Holder,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jayant Yadav.png,2.0,4.0,4.0,13.0,103.0,4/52,51.5,7.92,39.0,0.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2016.0, 64 ,Jayant Yadav,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/John Hastings.png,2.0,5.0,5.0,17.0,125.0,1/23,62.5,7.35,51.0,0.0,0.0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg
